Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Roadmap),Custom field (Score),Sprint,Custom field (Start date),Custom field (State),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status category,Status category changed
Start here: Add your team's work,SCRUM-1,10000,Task,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:02 AM,23/Aug/26 10:02 AM,,,28/Aug/26 12:00 AM,0,,"* Have existing work? [Import|/jira/settings/system/external-import] from a CSV or another tool (like Asana or Notion).
* Have an idea to plan out? [Use Rovo|/jira?rovoChatTriggerOpen=true&rovoChatPathway=chat&rovoChatPrompt=Hello%20Rovo], your AI assistant, to turn it into structured tasks instantly.
* Want to accelerate work? [Use AI agents|https://support.atlassian.com/rovo/docs/agents/] to refine tasks and drive projects forward.

[https://www.loom.com/share/8f30334a0dca4ff6861bf7cf324e14ee|https://www.loom.com/share/8f30334a0dca4ff6861bf7cf324e14ee|smart-embed]",,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,,,,23/Aug/26 10:02 AM;30e46ea8-000d-4b85-8ee8-5ed248be4f72;add-your-teams-work.png;https://atlas-ishan.atlassian.net/rest/api/3/attachment/content/10000,,,,,,,,,{},,,,,,,,,,,,,0|hzzzzz:,,,SCRUM Sprint 0,,,,,,,,,,To Do,23/Aug/26 10:02 AM
Connect your coding agent to Jira,SCRUM-2,10001,Task,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:02 AM,23/Aug/26 10:02 AM,,,02/Sep/26 12:00 AM,0,,"Connect an agent to Jira to automate code changes, draft PRs, and progress work automatically.

*Prerequisites*

Before setting up a coding agent, ensure you have:
* A Jira cloud instance with [Rovo|https://www.atlassian.com/software/rovo/guides/admin-guide/rovo-activation#confirm-activation] enabled.
* Admin rights to install a coding app, or submit a request to your admin.
* An active subscription for your chosen agent.
* A code repository the agent can work in.

*Select your tool below to see setup steps:*

*GitHub Copilot*

# Go to the [GitHub Copilot for Jira|/jira/marketplace/discover/app/com.github.copilot] app on the Atlassian Marketplace.
# Select *Get it now*, choose your site, then review and install the app (or submit a request to your admin).
# If you're not automatically redirected, open the [GitHub Copilot for Jira|https://github.com/apps/github-copilot-for-jira] page on the GitHub Marketplace, sign in if required, and click *Install*.
# Back in Jira, go to *Project settings* → *Apps* → *Manage apps*.
# Find *GitHub Copilot for Jira* and select *Configure*.
# Enable the GitHub organization you want to grant access to.

*Cursor*

# In your [Cursor integration settings|https://www.cursor.com/dashboard/integrations], click *Connect* next to Jira.
# Go to the [Cursor|/jira/marketplace/discover/app/com.anysphere.jira.plugins.cursor] app on the Atlassian Marketplace.
# Select *Get it now*, choose your site, then review and install the app (or submit a request to your admin).
# Go to *Project settings* → *Apps* → *Manage apps*.
# Find *Cursor* and select *Configure*.
# Select *Connect to Cursor*.
# Connect your Jira site to your Cursor team.

*Claude*

The Claude for Jira coding agent requires two credentials:
* *An Anthropic API key* for Claude Managed Agents
* *A GitHub personal access token* for your GitHub service account
Once you have these:
# Go to the [+Claude for Jira+|/jira/marketplace/discover/app/com.atlassian.agent.claude.for.jira] app on the Atlassian Marketplace.
# Click *Get it now*, select your site, then review and install the app (or submit a request to your admin).
# Go to *Project settings* → *Apps* → *Manage apps*.
# Find *Claude Agent for Jira* and select *Configure*.
# In the *Claude Managed Agents API Key* field, paste your API key.
# Once verified, click *Create Agent* and confirm the Claude agent appears in your Anthropic Console.
# In the *GitHub Personal Access Token* field, paste and verify your access token.
# Click *Save configuration*.",,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,,,,23/Aug/26 10:02 AM;30e46ea8-000d-4b85-8ee8-5ed248be4f72;connect-agents-to-jira.png;https://atlas-ishan.atlassian.net/rest/api/3/attachment/content/10001,,,,,,,,,{},,,,,,,,,,,,,0|i00007:,,,SCRUM Sprint 0,,,,,,,,,,To Do,23/Aug/26 10:02 AM
Connect Atlassian Rovo MCP to your local coding tools,SCRUM-3,10002,Task,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:02 AM,23/Aug/26 10:02 AM,23/Aug/26 12:42 PM,,07/Sep/26 12:00 AM,0,,"Bring your Atlassian context into your IDE and terminal with [Teamwork Graph|https://teamworkgraph.com/]. Connect via Rovo MCP or the Teamwork Graph CLI and your agent can read, create, and action work without leaving your editor.

*Teamwork Graph CLI and Rovo MCP are both official ways for AI agents to work with Atlassian data via the Teamwork Graph.*

----

*MCP: In your browser and desktop agents*

[Atlassian Rovo MCP|https://support.atlassian.com/atlassian-rovo-mcp-server/docs/getting-started-with-the-atlassian-remote-mcp-server/] connects your AI agent to your Atlassian context – Jira, Confluence, Bitbucket, and connected work, all reachable in one conversation.

*Select your tool below to see setup steps:*

*GitHub Copilot*

*Prerequisites:*
* VS Code installed and updated.
* GitHub Copilot enabled in VS Code.
* Access to edit your VS Code MCP configuration.
* An Atlassian account with access to the Jira content you want to use.
*Configuration:*
{code:json}{ ""servers"": { ""atlassian-mcp-server"": { ""url"": ""https://mcp.atlassian.com/v1/mcp/authv2"", ""type"": ""http"" } } }{code}
*Steps:*
# Open VS Code and confirm GitHub Copilot is enabled.
# Open your VS Code MCP configuration file or MCP settings.
# Add the Atlassian Rovo MCP server using the servers configuration format above.
# Save the configuration file.
# Reload the VS Code window or restart VS Code so the MCP configuration is picked up.
# When prompted, complete the Atlassian authentication flow in your browser.
# Return to VS Code and confirm the Atlassian Rovo MCP server is available to Copilot.
*Important:* GitHub Copilot in VS Code uses a native HTTP MCP connection. Do not use the Claude Desktop mcpServers format or the mcp-remote proxy for this setup.

*Cursor*

*Prerequisites:*
* A modern version of Cursor that supports MCP server configuration.
* Access to Cursor settings.
* An Atlassian account with access to the Jira content you want to use.
*Configuration:*
{code:json}""Atlassian-MCP-Server"": { ""url"": ""https://mcp.atlassian.com/v1/mcp/authv2"" }{code}
*Steps:*
# Open Cursor.
# Go to Cursor settings and find the MCP or Model Context Protocol settings area.
# Add a new MCP server entry.
# Name the server something recognizable, such as Atlassian-MCP-Server.
# Use the direct Atlassian Rovo MCP URL: https://mcp.atlassian.com/v1/mcp/authv2.
# Save the MCP server configuration.
# Restart Cursor or reload the window if the server does not appear immediately.
# Complete the Atlassian authentication flow when prompted.
# Return to Cursor and confirm the Atlassian Rovo MCP server is available.
*Important:* Modern Cursor versions can connect directly by URL. If Cursor does not recognize the server, confirm your Cursor version supports native HTTP MCP connections before trying another setup style.

*Codex*

*Prerequisites:*
* Node.js v18 or later installed.
* npx available on your machine.
* Access to edit the Codex MCP configuration file or MCP settings.
* An Atlassian account with access to the Jira content you want to use.
*Configuration:*
{code:json}""Atlassian-Rovo-MCP"": { ""command"": ""npx"", ""args"": [""-y"", ""mcp-remote@latest"", ""https://mcp.atlassian.com/v1/mcp/authv2""] }{code}
*Steps:*
# Confirm Node.js v18+ and npx are installed.
# Open the Codex MCP configuration file or settings area.
# Add the Atlassian server using the command and args configuration above.
# Save the configuration.
# Restart Codex so it can launch the mcp-remote proxy.
# When the browser authentication window opens, sign in with your Atlassian account and approve access.
# Return to Codex and confirm the Atlassian Rovo MCP tools are available.
*Important:* Codex uses the mcp-remote proxy rather than a direct native HTTP connection. If authentication or tool discovery fails, first confirm that Node.js and npx are installed and available from your terminal.

*Claude*

*Prerequisites:*
* Claude Desktop installed.
* Node.js v18 or later installed.
* npx available on your machine.
* Access to edit the Claude Desktop configuration file.
* An Atlassian account with access to the Jira content you want to use.
*Configuration:*
{code:json}{ ""mcpServers"": { ""Atlassian"": { ""command"": ""npx"", ""args"": [""-y"", ""mcp-remote@latest"", ""https://mcp.atlassian.com/v1/mcp/authv2""] } } }{code}
*Steps:*
# Confirm Node.js v18+ and npx are installed.
# Fully quit Claude Desktop before editing the configuration.
# Open the Claude Desktop configuration file.
# Find or create the mcpServers section.
# Add the Atlassian server using the Claude Desktop mcpServers configuration above.
# Save the configuration file.
# Restart Claude Desktop.
# Complete the Atlassian authentication flow when prompted.
# Open Claude Desktop and confirm the Atlassian Rovo MCP server appears in the available tools or integrations.
*Important:* Claude Desktop does not use the native HTTP servers block shown for GitHub Copilot. Use the mcpServers block with npx and mcp-remote.

{panel:bgColor=#deebff}
Need help? See the [+IDE setup guide+|https://support.atlassian.com/atlassian-rovo-mcp-server/docs/setting-up-ides/] and [+troubleshooting+|https://support.atlassian.com/atlassian-rovo-mcp-server/docs/troubleshooting-and-verifying-your-setup/].
{panel}

----

*CLI: In your agent terminal*

[Teamwork Graph CLI|https://developer.atlassian.com/cloud/twg-cli/] is a command line interface to the Atlassian Teamwork Graph and Cloud services.

If you work in terminals, scripts, or CI/CD pipelines, the Teamwork Graph CLI gives you deeper, command-line control of your Atlassian data.

*Install TWG CLI using your AI coding agent*

Use this when you want an AI coding agent to install TWG CLI, authenticate, and set up agent skills for you.
Copy the following prompt and paste it into your agent:
{noformat}Install/setup TWG using https://teamwork-graph.atlassian.com/cli/AGENTS.md{noformat}
The agent should use that hosted {{AGENTS.md}} directly. There are no separate agent-specific install URLs.
Once installed, run:
{noformat}twg doctor{noformat}
This checks authentication, connectivity, and build info. It works the same on macOS, Linux, PowerShell, and cmd

{panel:bgColor=#deebff}
Want to install TWC CLI directly from your terminal? View the [full TWG CLI setup guide|https://developer.atlassian.com/cloud/twg-cli/getting-started/installation/].
{panel}

----

*Try it out:*

Your AI coding agent can now access your Atlassian data across Jira, Confluence, Bitbucket, and more.

Describe what you want in plain language and your agent handles the rest:

* _""Find all open bugs in [project name].""_
* _""Create a task titled 'Redesign onboarding', high priority, assign to me.""_
* _""Move PROJ-456 to 'In Review' and add a comment that the PR is up.""_
* _""Make 5 Jira work items from these meeting notes…""_",,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,,,,23/Aug/26 10:02 AM;30e46ea8-000d-4b85-8ee8-5ed248be4f72;connect-atlassian-mcp.png;https://atlas-ishan.atlassian.net/rest/api/3/attachment/content/10002,,,,,,,,,{},,,,,,,,,,,,,0|i0000f:,,,SCRUM Sprint 0,,,,,,,,,,To Do,23/Aug/26 10:02 AM
Delegate this work item to a coding agent,SCRUM-4,10003,Subtask,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:02 AM,23/Aug/26 10:02 AM,,,02/Sep/26 12:00 AM,0,,"*Ask a coding agent to add a short ""Hello, world!"" section to the README of any repo you have access to.*

*Instructions for coding agent*

# Add a short section to the repository README titled AI Agent Test.
# Include a brief sentence confirming this change was created as part of a Jira → Coding Agent delegation test.
# Create a branch, commit the change and open a draft pull request.
# Leave a comment on the Jira task with a link to the draft PR.
# Do not modify production code or configuration files.

{panel:bgColor=#deebff}
Try this after you've connected a coding agent to Jira.
{panel}

_This is a sample task to help you try the agentic development workflow. Once done, you'll have seen how Jira hands work off to a coding agent and gets a pull request back._

----

*Collaborating with agents:*

There are [many ways|https://support.atlassian.com/jira-software-cloud/docs/collaborate-on-work-items-with-ai-agents/] to collaborate with agents in Jira. You can delegate this work item to a coding agent in one of two ways:

*Option 1: Manually*

Open the *Agent* field on this work item and select your coding agent.
[https://www.loom.com/share/ded8d8c3ed724ff38d7726c589443076|https://www.loom.com/share/ded8d8c3ed724ff38d7726c589443076|smart-embed]

*Option 2: Automatically*

Select the agent icon at the top of a column to add the agent to your board. Then, move this card to that column on your board to delegate it to your coding agent automatically.
[https://www.loom.com/share/ebe7dde8e7ae4b4583ba9b18af317ffd|https://www.loom.com/share/ebe7dde8e7ae4b4583ba9b18af317ffd|smart-embed]

----

*Instructions:*

Once this work item’s been delegated to your agent:

# In the agent panel, select the repo you want the agent to work in.
# Monitor the agent panel for status updates and comments.
# When the draft PR is created, review the changes in GitHub.
# Merge or close the PR after verification.",,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0000n:,,,,,,,,,,,,,To Do,23/Aug/26 10:02 AM
Implement this work item from your IDE or terminal,SCRUM-5,10004,Subtask,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:02 AM,23/Aug/26 10:02 AM,,,07/Sep/26 12:00 AM,0,,"*Ask a coding agent to add a short ""Hello, world!"" section to the README of any repo you have access to.*

*Instructions for coding agent*

# Add a short section to the repository README titled AI Agent Test
# Include a brief sentence confirming this change was created from a Jira work item
# Commit the change, open a draft pull request, and post status updates back to Jira
# Do not modify production code or configuration files

{panel:bgColor=#deebff}
Try this after you've connected Atlassian Rovo MCP Server to your IDE or set up the Teamwork Graph CLI in your terminal.
{panel}

_This is a sample task to walk you through opening a Jira work item in your local dev tools and letting your agent implement it end to end._

----

*If you’re using Atlassian Rovo MCP:*

# In the *Development* panel on this work item, select your IDE from the dropdown.
# Follow the prompt to open this work item in your editor.
# Ask your agent: _Implement this Jira work item_. The agent will read the description and make the change.
# Review the diff, commit, and open a pull request from your editor.
# Head back to this work item. Your linked pull request will appear in the agent panel.

*If you’re using Teamwork Graph CLI:*

# In your terminal, ask your agent: _Implement this Jira work item_ – include the work item URL or ID as context.
# The agent will read the description and make the change.
# Review the diff and merge or close the PR.
# Head back to this work item. Your linked pull request will appear in the agent panel.",,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0000v:,,,,,,,,,,,,,To Do,23/Aug/26 10:02 AM
Foundation,SCRUM-6,10012,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,23/Aug/26 11:57 AM,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002n:,,,,,,,,,,,,,To Do,
Operations,SCRUM-19,10008,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0001r:,,,,,,,,,,,,,To Do,
Security,SCRUM-18,10018,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,To Do,
Analytics,SCRUM-17,10014,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i00033:,,,,,,,,,,,,,To Do,
Memory/Preferences,SCRUM-16,10017,Epic,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 10:36 AM,23/Aug/26 10:36 AM,,,,0,,,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,To Do,
